Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
France,Bourgogne Pinot Noir 2018,550,12.57,3.6,Bourgogne,red,Louis Latour,2018,60f33d7f00b871aef201f19c
Spain,Vi de Villa Bellmunt Priorat Tinto 2015,550,18.81,3.8,Priorat,red,"Mas d'en Gil",2015,60f33d7f00b871aef201f19d
Italy,San Domino 2018,551,6.77,3.9,Puglia,red,Montedidio,2018,60f33d7f00b871aef201f19e
Italy,Il Grigio Chianti Classico Riserva 2016,551,14.52,3.9,Chianti Classico,red,San Felice,2016,60f33d7f00b871aef201f19f
France,Saint-Georges-Saint-Émilion 2014,551,19.5,3.8,Saint-Georges-Saint-Émilion,red,Chateau Cap St George,2014,60f33d7f00b871aef201f1a0
France,Côtes du Rhône Les Deux Albion 2015,551,14.5,3.7,Côtes-du-Rhône,red,Château de Saint Cosme,2015,60f33d7f00b871aef201f1a1
Italy,Luce Brunello di Montalcino 2012,551,92,4.4,Brunello di Montalcino,red,Luce della Vite,2012,60f33d7f00b871aef201f1a2
Spain,Barbazul Tinto 2017,551,8.49,3.7,Cádiz,red,Huerta de Albala,2017,60f33d7f00b871aef201f1a3
Spain,Coto de Imaz Rioja Reserva 2015,5510,9.9,3.8,Rioja,red,El Coto,2015,60f33d7f00b871aef201f1a4
Australia,The Struie 2016,552,63.9,4.2,Barossa Valley,red,Torbreck,2016,60f33d7f00b871aef201f1a5
Chile,Tributo Cabernet Sauvignon 2015,552,9.64,3.7,Colchagua Valley,red,Caliterra,2015,60f33d7f00b871aef201f1a6
France,Moulis-en-Médoc 2016,552,34.85,3.9,Moulis-en-Médoc,red,Château Chasse-Spleen,2016,60f33d7f00b871aef201f1a7
South Africa,21 Gables Pinotage 2015,553,25.1,4.2,Western Cape,red,Spier,2015,60f33d7f00b871aef201f1a8
Italy,Cubardi Primitivo 2016,553,15.47,4.3,Salento,red,Schola Sarmenti,2016,60f33d7f00b871aef201f1a9
Italy,Brunello di Montalcino 2014,553,38.89,4.2,Brunello di Montalcino,red,"Ciacci Piccolomini d'Aragona",2014,60f33d7f00b871aef201f1aa
Italy,Soffocone di Vincigliata Toscana 2015,554,31.97,4,Toscana,red,Bibi Graetz,2015,60f33d7f00b871aef201f1ab
